"","GENE","CANCER_TYPE","SITE","HALLMARK"
"4681","RAD21","AML","Haematolymphoid","genome instability and mutations"
"4682","RAD21","AML","Haematolymphoid","escaping programmed cell death"
"4683","RAD21","AML","Haematolymphoid","invasion and metastasis"
"4684","RAF1","COADREAD","Digestive system","angiogenesis"
"4685","RAF1","COADREAD","Digestive system","escaping programmed cell death"
"4686","RAF1","COADREAD","Digestive system","invasion and metastasis"
"4687","RAF1","COADREAD","Digestive system","proliferative signalling"
"4688","RANBP2","NBL","Peripheral neuroblastic","genome instability and mutations"
"4689","RANBP2","PRAD","Urinary and male genital","genome instability and mutations"
"4690","RANBP2","LUSC","Thoracic","genome instability and mutations"
"4691","RANBP2","HCC","Digestive system","genome instability and mutations"
"4692","RANBP2","PGNG","Endocrine and neuroendocrine","genome instability and mutations"
"4693","RANBP2","HNSC","Head and neck","genome instability and mutations"
"4694","RANBP2","CCRCC","Urinary and male genital","genome instability and mutations"
"4695","RAP1GDS1","ESCA","Digestive system","proliferative signalling"
"4696","RAP1GDS1","ESCA","Digestive system","invasion and metastasis"
"4697","RAP1GDS1","CCRCC","Urinary and male genital","proliferative signalling"
"4698","RAP1GDS1","CCRCC","Urinary and male genital","invasion and metastasis"
"4699","RB1","BRCA","Breast","suppression of growth"
"4700","RB1","BRCA","Breast","change of cellular energetics"
"4701","RB1","BRCA","Breast","escaping programmed cell death"
"4702","RB1","BRCA","Breast","escaping immune response to cancer"
"4703","RB1","BRCA","Breast","genome instability and mutations"
"4704","RB1","BRCA","Breast","invasion and metastasis"
"4705","RB1","HCC","Digestive system","suppression of growth"
"4706","RB1","HCC","Digestive system","change of cellular energetics"
"4707","RB1","HCC","Digestive system","escaping programmed cell death"
"4708","RB1","HCC","Digestive system","escaping immune response to cancer"
"4709","RB1","HCC","Digestive system","genome instability and mutations"
"4710","RB1","HCC","Digestive system","invasion and metastasis"
"4711","RB1","PRAD","Urinary and male genital","suppression of growth"
"4712","RB1","PRAD","Urinary and male genital","change of cellular energetics"
"4713","RB1","PRAD","Urinary and male genital","escaping programmed cell death"
"4714","RB1","PRAD","Urinary and male genital","escaping immune response to cancer"
"4715","RB1","PRAD","Urinary and male genital","genome instability and mutations"
"4716","RB1","PRAD","Urinary and male genital","invasion and metastasis"
"4717","RB1","PCM","Haematolymphoid","suppression of growth"
"4718","RB1","PCM","Haematolymphoid","change of cellular energetics"
"4719","RB1","PCM","Haematolymphoid","escaping programmed cell death"
"4720","RB1","PCM","Haematolymphoid","escaping immune response to cancer"
"4721","RB1","PCM","Haematolymphoid","genome instability and mutations"
"4722","RB1","PCM","Haematolymphoid","invasion and metastasis"
"4723","RB1","GBM","Central nervous system","suppression of growth"
"4724","RB1","GBM","Central nervous system","change of cellular energetics"
"4725","RB1","GBM","Central nervous system","escaping programmed cell death"
"4726","RB1","GBM","Central nervous system","escaping immune response to cancer"
"4727","RB1","GBM","Central nervous system","genome instability and mutations"
"4728","RB1","GBM","Central nervous system","invasion and metastasis"
"4729","RB1","LUAD","Thoracic","suppression of growth"
"4730","RB1","LUAD","Thoracic","change of cellular energetics"
"4731","RB1","LUAD","Thoracic","escaping programmed cell death"
"4732","RB1","LUAD","Thoracic","escaping immune response to cancer"
"4733","RB1","LUAD","Thoracic","genome instability and mutations"
"4734","RB1","LUAD","Thoracic","invasion and metastasis"
"4735","RB1","BLCA","Urinary and male genital","suppression of growth"
"4736","RB1","BLCA","Urinary and male genital","change of cellular energetics"
"4737","RB1","BLCA","Urinary and male genital","escaping programmed cell death"
"4738","RB1","BLCA","Urinary and male genital","escaping immune response to cancer"
"4739","RB1","BLCA","Urinary and male genital","genome instability and mutations"
"4740","RB1","BLCA","Urinary and male genital","invasion and metastasis"
"4741","RB1","UCS","Female genital","suppression of growth"
"4742","RB1","UCS","Female genital","change of cellular energetics"
"4743","RB1","UCS","Female genital","escaping programmed cell death"
"4744","RB1","UCS","Female genital","escaping immune response to cancer"
"4745","RB1","UCS","Female genital","genome instability and mutations"
"4746","RB1","UCS","Female genital","invasion and metastasis"
"4747","RB1","RBL","Eye and orbit","suppression of growth"
"4748","RB1","RBL","Eye and orbit","change of cellular energetics"
"4749","RB1","RBL","Eye and orbit","escaping programmed cell death"
"4750","RB1","RBL","Eye and orbit","escaping immune response to cancer"
"4751","RB1","RBL","Eye and orbit","genome instability and mutations"
"4752","RB1","RBL","Eye and orbit","invasion and metastasis"
"4753","RB1","OVT","Female genital","suppression of growth"
"4754","RB1","OVT","Female genital","change of cellular energetics"
"4755","RB1","OVT","Female genital","escaping programmed cell death"
"4756","RB1","OVT","Female genital","escaping immune response to cancer"
"4757","RB1","OVT","Female genital","genome instability and mutations"
"4758","RB1","OVT","Female genital","invasion and metastasis"
"4759","RB1","OS","Soft tissue and bone","suppression of growth"
"4760","RB1","OS","Soft tissue and bone","change of cellular energetics"
"4761","RB1","OS","Soft tissue and bone","escaping programmed cell death"
"4762","RB1","OS","Soft tissue and bone","escaping immune response to cancer"
"4763","RB1","OS","Soft tissue and bone","genome instability and mutations"
"4764","RB1","OS","Soft tissue and bone","invasion and metastasis"
"4765","RB1","SCLC","Thoracic","suppression of growth"
"4766","RB1","SCLC","Thoracic","change of cellular energetics"
"4767","RB1","SCLC","Thoracic","escaping programmed cell death"
"4768","RB1","SCLC","Thoracic","escaping immune response to cancer"
"4769","RB1","SCLC","Thoracic","genome instability and mutations"
"4770","RB1","SCLC","Thoracic","invasion and metastasis"
"4771","RB1","STAD","Digestive system","suppression of growth"
"4772","RB1","STAD","Digestive system","change of cellular energetics"
"4773","RB1","STAD","Digestive system","escaping programmed cell death"
"4774","RB1","STAD","Digestive system","escaping immune response to cancer"
"4775","RB1","STAD","Digestive system","genome instability and mutations"
"4776","RB1","STAD","Digestive system","invasion and metastasis"
"4777","RB1","HNSC","Head and neck","suppression of growth"
"4778","RB1","HNSC","Head and neck","change of cellular energetics"
"4779","RB1","HNSC","Head and neck","escaping programmed cell death"
"4780","RB1","HNSC","Head and neck","escaping immune response to cancer"
"4781","RB1","HNSC","Head and neck","genome instability and mutations"
"4782","RB1","HNSC","Head and neck","invasion and metastasis"
"4783","RB1","ESCA","Digestive system","suppression of growth"
"4784","RB1","ESCA","Digestive system","change of cellular energetics"
"4785","RB1","ESCA","Digestive system","escaping programmed cell death"
"4786","RB1","ESCA","Digestive system","escaping immune response to cancer"
"4787","RB1","ESCA","Digestive system","genome instability and mutations"
"4788","RB1","ESCA","Digestive system","invasion and metastasis"
"4789","RB1","LUSC","Thoracic","suppression of growth"
"4790","RB1","LUSC","Thoracic","change of cellular energetics"
"4791","RB1","LUSC","Thoracic","escaping programmed cell death"
"4792","RB1","LUSC","Thoracic","escaping immune response to cancer"
"4793","RB1","LUSC","Thoracic","genome instability and mutations"
"4794","RB1","LUSC","Thoracic","invasion and metastasis"
"4795","RB1","MEL","Skin","suppression of growth"
"4796","RB1","MEL","Skin","change of cellular energetics"
"4797","RB1","MEL","Skin","escaping programmed cell death"
"4798","RB1","MEL","Skin","escaping immune response to cancer"
"4799","RB1","MEL","Skin","genome instability and mutations"
"4800","RB1","MEL","Skin","invasion and metastasis"
"4801","RB1","LMS","Soft tissue and bone","suppression of growth"
"4802","RB1","LMS","Soft tissue and bone","change of cellular energetics"
"4803","RB1","LMS","Soft tissue and bone","escaping programmed cell death"
"4804","RB1","LMS","Soft tissue and bone","escaping immune response to cancer"
"4805","RB1","LMS","Soft tissue and bone","genome instability and mutations"
"4806","RB1","LMS","Soft tissue and bone","invasion and metastasis"
"4807","RB1","UCEC","Female genital","suppression of growth"
"4808","RB1","UCEC","Female genital","change of cellular energetics"
"4809","RB1","UCEC","Female genital","escaping programmed cell death"
"4810","RB1","UCEC","Female genital","escaping immune response to cancer"
"4811","RB1","UCEC","Female genital","genome instability and mutations"
"4812","RB1","UCEC","Female genital","invasion and metastasis"
"4813","RB1","SOFT_TISSUE","Soft tissue and bone","suppression of growth"
"4814","RB1","SOFT_TISSUE","Soft tissue and bone","change of cellular energetics"
"4815","RB1","SOFT_TISSUE","Soft tissue and bone","escaping programmed cell death"
"4816","RB1","SOFT_TISSUE","Soft tissue and bone","escaping immune response to cancer"
"4817","RB1","SOFT_TISSUE","Soft tissue and bone","genome instability and mutations"
"4818","RB1","SOFT_TISSUE","Soft tissue and bone","invasion and metastasis"
"4819","RB1","NSCLC","Thoracic","suppression of growth"
"4820","RB1","NSCLC","Thoracic","change of cellular energetics"
"4821","RB1","NSCLC","Thoracic","escaping programmed cell death"
"4822","RB1","NSCLC","Thoracic","escaping immune response to cancer"
"4823","RB1","NSCLC","Thoracic","genome instability and mutations"
"4824","RB1","NSCLC","Thoracic","invasion and metastasis"
"4825","RB1","CESC","Female genital","suppression of growth"
"4826","RB1","CESC","Female genital","change of cellular energetics"
"4827","RB1","CESC","Female genital","escaping programmed cell death"
"4828","RB1","CESC","Female genital","escaping immune response to cancer"
"4829","RB1","CESC","Female genital","genome instability and mutations"
"4830","RB1","CESC","Female genital","invasion and metastasis"
"4831","RB1","ACC","Endocrine and neuroendocrine","suppression of growth"
"4832","RB1","ACC","Endocrine and neuroendocrine","change of cellular energetics"
"4833","RB1","ACC","Endocrine and neuroendocrine","escaping programmed cell death"
"4834","RB1","ACC","Endocrine and neuroendocrine","escaping immune response to cancer"
"4835","RB1","ACC","Endocrine and neuroendocrine","genome instability and mutations"
"4836","RB1","ACC","Endocrine and neuroendocrine","invasion and metastasis"
"4837","RBM10","BLCA","Urinary and male genital","escaping programmed cell death"
"4838","RBM10","BLCA","Urinary and male genital","suppression of growth"
"4839","RBM10","PAAD","Digestive system","escaping programmed cell death"
"4840","RBM10","PAAD","Digestive system","suppression of growth"
"4841","RBM10","CHOL","Digestive system","escaping programmed cell death"
"4842","RBM10","CHOL","Digestive system","suppression of growth"
"4843","RBM10","LUAD","Thoracic","escaping programmed cell death"
"4844","RBM10","LUAD","Thoracic","suppression of growth"
"4845","RBM10","COADREAD","Digestive system","escaping programmed cell death"
"4846","RBM10","COADREAD","Digestive system","suppression of growth"
"4847","RBM10","NSCLC","Thoracic","escaping programmed cell death"
"4848","RBM10","NSCLC","Thoracic","suppression of growth"
"4849","RECQL4","STAD","Digestive system","invasion and metastasis"
"4850","RECQL4","STAD","Digestive system","genome instability and mutations"
"4851","RECQL4","STAD","Digestive system","escaping programmed cell death"
"4852","RET","PGNG","Endocrine and neuroendocrine","invasion and metastasis"
"4853","RET","PGNG","Endocrine and neuroendocrine","proliferative signalling"
"4854","RET","PGNG","Endocrine and neuroendocrine","tumour promoting inflammation"
"4855","RET","PGNG","Endocrine and neuroendocrine","escaping programmed cell death"
"4856","RET","PGNG","Endocrine and neuroendocrine","escaping immune response to cancer"
"4857","RET","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"4858","RET","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"4859","RET","WDTC","Endocrine and neuroendocrine","tumour promoting inflammation"
"4860","RET","WDTC","Endocrine and neuroendocrine","escaping programmed cell death"
"4861","RET","WDTC","Endocrine and neuroendocrine","escaping immune response to cancer"
"4862","RET","MEL","Skin","invasion and metastasis"
"4863","RET","MEL","Skin","proliferative signalling"
"4864","RET","MEL","Skin","tumour promoting inflammation"
"4865","RET","MEL","Skin","escaping programmed cell death"
"4866","RET","MEL","Skin","escaping immune response to cancer"
"4867","RET","NSCLC","Thoracic","invasion and metastasis"
"4868","RET","NSCLC","Thoracic","proliferative signalling"
"4869","RET","NSCLC","Thoracic","tumour promoting inflammation"
"4870","RET","NSCLC","Thoracic","escaping programmed cell death"
"4871","RET","NSCLC","Thoracic","escaping immune response to cancer"
"4872","RET","LUAD","Thoracic","invasion and metastasis"
"4873","RET","LUAD","Thoracic","proliferative signalling"
"4874","RET","LUAD","Thoracic","tumour promoting inflammation"
"4875","RET","LUAD","Thoracic","escaping programmed cell death"
"4876","RET","LUAD","Thoracic","escaping immune response to cancer"
"4877","RET","SOFT_TISSUE","Soft tissue and bone","invasion and metastasis"
"4878","RET","SOFT_TISSUE","Soft tissue and bone","proliferative signalling"
"4879","RET","SOFT_TISSUE","Soft tissue and bone","tumour promoting inflammation"
"4880","RET","SOFT_TISSUE","Soft tissue and bone","escaping programmed cell death"
"4881","RET","SOFT_TISSUE","Soft tissue and bone","escaping immune response to cancer"
"4882","RHOA","BLCA","Urinary and male genital","invasion and metastasis"
"4883","RHOA","BLCA","Urinary and male genital","escaping programmed cell death"
"4884","RHOA","BLCA","Urinary and male genital","suppression of growth"
"4885","RHOA","BLCA","Urinary and male genital","genome instability and mutations"
"4886","RHOA","PLMESO","Soft tissue and bone","invasion and metastasis"
"4887","RHOA","PLMESO","Soft tissue and bone","escaping programmed cell death"
"4888","RHOA","PLMESO","Soft tissue and bone","suppression of growth"
"4889","RHOA","PLMESO","Soft tissue and bone","genome instability and mutations"
"4890","RHOA","BL","Haematolymphoid","invasion and metastasis"
"4891","RHOA","BL","Haematolymphoid","escaping programmed cell death"
"4892","RHOA","BL","Haematolymphoid","suppression of growth"
"4893","RHOA","BL","Haematolymphoid","genome instability and mutations"
"4894","RHOA","NHL","Haematolymphoid","invasion and metastasis"
"4895","RHOA","NHL","Haematolymphoid","escaping programmed cell death"
"4896","RHOA","NHL","Haematolymphoid","suppression of growth"
"4897","RHOA","NHL","Haematolymphoid","genome instability and mutations"
"4898","RHOA","LNM","Haematolymphoid","invasion and metastasis"
"4899","RHOA","LNM","Haematolymphoid","escaping programmed cell death"
"4900","RHOA","LNM","Haematolymphoid","suppression of growth"
"4901","RHOA","LNM","Haematolymphoid","genome instability and mutations"
"4902","RHOA","HNSC","Head and neck","invasion and metastasis"
"4903","RHOA","HNSC","Head and neck","escaping programmed cell death"
"4904","RHOA","HNSC","Head and neck","suppression of growth"
"4905","RHOA","HNSC","Head and neck","genome instability and mutations"
"4906","RHOA","STAD","Digestive system","invasion and metastasis"
"4907","RHOA","STAD","Digestive system","escaping programmed cell death"
"4908","RHOA","STAD","Digestive system","suppression of growth"
"4909","RHOA","STAD","Digestive system","genome instability and mutations"
"4910","RHOA","MEL","Skin","invasion and metastasis"
"4911","RHOA","MEL","Skin","escaping programmed cell death"
"4912","RHOA","MEL","Skin","suppression of growth"
"4913","RHOA","MEL","Skin","genome instability and mutations"
"4914","RHOA","MLYM","Haematolymphoid","invasion and metastasis"
"4915","RHOA","MLYM","Haematolymphoid","escaping programmed cell death"
"4916","RHOA","MLYM","Haematolymphoid","suppression of growth"
"4917","RHOA","MLYM","Haematolymphoid","genome instability and mutations"
"4918","RHOA","PRAD","Urinary and male genital","invasion and metastasis"
"4919","RHOA","PRAD","Urinary and male genital","escaping programmed cell death"
"4920","RHOA","PRAD","Urinary and male genital","suppression of growth"
"4921","RHOA","PRAD","Urinary and male genital","genome instability and mutations"
"4922","RHOA","BRCA","Breast","invasion and metastasis"
"4923","RHOA","BRCA","Breast","escaping programmed cell death"
"4924","RHOA","BRCA","Breast","suppression of growth"
"4925","RHOA","BRCA","Breast","genome instability and mutations"
"4926","RHOA","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"4927","RHOA","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"4928","RHOA","DLBCLNOS","Soft tissue and bone","suppression of growth"
"4929","RHOA","DLBCLNOS","Soft tissue and bone","genome instability and mutations"
"4930","RNF213","BLCA","Urinary and male genital","angiogenesis"
"4931","RNF213","BCC","Skin","angiogenesis"
"4932","RNF213","MBL","Central nervous system","angiogenesis"
"4933","RNF213","HCC","Digestive system","angiogenesis"
"4934","RNF213","ESCA","Digestive system","angiogenesis"
"4935","RNF213","ANGS","Soft tissue and bone","angiogenesis"
"4936","RNF213","PRAD","Urinary and male genital","angiogenesis"
"4937","RNF213","GBM","Central nervous system","angiogenesis"
"4938","RNF213","UCEC","Female genital","angiogenesis"
"4939","RNF213","CCRCC","Urinary and male genital","angiogenesis"
"4940","RNF213","LUSC","Thoracic","angiogenesis"
"4941","RNF43","PAAD","Digestive system","cell replicative immortality"
"4942","RNF43","PAAD","Digestive system","escaping programmed cell death"
"4943","RNF43","PAAD","Digestive system","suppression of growth"
"4944","RNF43","PRAD","Urinary and male genital","cell replicative immortality"
"4945","RNF43","PRAD","Urinary and male genital","escaping programmed cell death"
"4946","RNF43","PRAD","Urinary and male genital","suppression of growth"
"4947","RNF43","BRCA","Breast","cell replicative immortality"
"4948","RNF43","BRCA","Breast","escaping programmed cell death"
"4949","RNF43","BRCA","Breast","suppression of growth"
"4950","RNF43","STAD","Digestive system","cell replicative immortality"
"4951","RNF43","STAD","Digestive system","escaping programmed cell death"
"4952","RNF43","STAD","Digestive system","suppression of growth"
"4953","RNF43","COADREAD","Digestive system","cell replicative immortality"
"4954","RNF43","COADREAD","Digestive system","escaping programmed cell death"
"4955","RNF43","COADREAD","Digestive system","suppression of growth"
"4956","RNF43","OVT","Female genital","cell replicative immortality"
"4957","RNF43","OVT","Female genital","escaping programmed cell death"
"4958","RNF43","OVT","Female genital","suppression of growth"
"4959","RNF43","UCEC","Female genital","cell replicative immortality"
"4960","RNF43","UCEC","Female genital","escaping programmed cell death"
"4961","RNF43","UCEC","Female genital","suppression of growth"
"4962","RNF43","ESCA","Digestive system","cell replicative immortality"
"4963","RNF43","ESCA","Digestive system","escaping programmed cell death"
"4964","RNF43","ESCA","Digestive system","suppression of growth"
"4965","RNF43","LUSC","Thoracic","cell replicative immortality"
"4966","RNF43","LUSC","Thoracic","escaping programmed cell death"
"4967","RNF43","LUSC","Thoracic","suppression of growth"
"4968","RNF43","CHOL","Digestive system","cell replicative immortality"
"4969","RNF43","CHOL","Digestive system","escaping programmed cell death"
"4970","RNF43","CHOL","Digestive system","suppression of growth"
"4971","RNF43","PANCREAS","Digestive system","cell replicative immortality"
"4972","RNF43","PANCREAS","Digestive system","escaping programmed cell death"
"4973","RNF43","PANCREAS","Digestive system","suppression of growth"
"4974","ROS1","PRAD","Urinary and male genital","proliferative signalling"
"4975","ROS1","OVT","Female genital","proliferative signalling"
"4976","ROS1","HCC","Digestive system","proliferative signalling"
"4977","RPL5","LUAD","Thoracic","suppression of growth"
"4978","RPL5","LUAD","Thoracic","escaping programmed cell death"
"4979","RPL5","GBM","Central nervous system","suppression of growth"
"4980","RPL5","GBM","Central nervous system","escaping programmed cell death"
"4981","RPL5","MEL","Skin","suppression of growth"
"4982","RPL5","MEL","Skin","escaping programmed cell death"
"4983","RUNX1T1","LUAD","Thoracic","suppression of growth"
"4984","RUNX1T1","LUAD","Thoracic","angiogenesis"
"4985","RUNX1T1","PRAD","Urinary and male genital","suppression of growth"
"4986","RUNX1T1","PRAD","Urinary and male genital","angiogenesis"
"4987","RUNX1T1","SCLC","Thoracic","suppression of growth"
"4988","RUNX1T1","SCLC","Thoracic","angiogenesis"
"4989","RUNX1T1","HCC","Digestive system","suppression of growth"
"4990","RUNX1T1","HCC","Digestive system","angiogenesis"
"4991","RUNX1T1","BCC","Skin","suppression of growth"
"4992","RUNX1T1","BCC","Skin","angiogenesis"
"4993","SALL4","CLLSLL","Haematolymphoid","proliferative signalling"
"4994","SALL4","CLLSLL","Haematolymphoid","escaping programmed cell death"
"4995","SALL4","CLLSLL","Haematolymphoid","invasion and metastasis"
"4996","SALL4","CLLSLL","Haematolymphoid","change of cellular energetics"
"4997","SALL4","CLLSLL","Haematolymphoid","genome instability and mutations"
"4998","SALL4","CLLSLL","Haematolymphoid","angiogenesis"
"4999","SDHA","HCC","Digestive system","angiogenesis"
"5000","SDHA","HCC","Digestive system","change of cellular energetics"
"5001","SETBP1","ESCA","Digestive system","invasion and metastasis"
"5002","SETBP1","ESCA","Digestive system","suppression of growth"
"5003","SETBP1","ESCA","Digestive system","proliferative signalling"
"5004","SETBP1","CSCC","Skin","invasion and metastasis"
"5005","SETBP1","CSCC","Skin","suppression of growth"
"5006","SETBP1","CSCC","Skin","proliferative signalling"
"5007","SETBP1","CCRCC","Urinary and male genital","invasion and metastasis"
"5008","SETBP1","CCRCC","Urinary and male genital","suppression of growth"
"5009","SETBP1","CCRCC","Urinary and male genital","proliferative signalling"
"5010","SETD2","GBM","Central nervous system","proliferative signalling"
"5011","SETD2","GBM","Central nervous system","genome instability and mutations"
"5012","SETD2","GBM","Central nervous system","escaping programmed cell death"
"5013","SETD2","GBM","Central nervous system","escaping immune response to cancer"
"5014","SETD2","GBM","Central nervous system","suppression of growth"
"5015","SETD2","GBM","Central nervous system","invasion and metastasis"
"5016","SETD2","GBM","Central nervous system","change of cellular energetics"
"5017","SETD2","GBM","Central nervous system","tumour promoting inflammation"
"5018","SETD2","GINET","Digestive system","proliferative signalling"
"5019","SETD2","GINET","Digestive system","genome instability and mutations"
"5020","SETD2","GINET","Digestive system","escaping programmed cell death"
"5021","SETD2","GINET","Digestive system","escaping immune response to cancer"
"5022","SETD2","GINET","Digestive system","suppression of growth"
"5023","SETD2","GINET","Digestive system","invasion and metastasis"
"5024","SETD2","GINET","Digestive system","change of cellular energetics"
"5025","SETD2","GINET","Digestive system","tumour promoting inflammation"
"5026","SETD2","LUAD","Thoracic","proliferative signalling"
"5027","SETD2","LUAD","Thoracic","genome instability and mutations"
"5028","SETD2","LUAD","Thoracic","escaping programmed cell death"
"5029","SETD2","LUAD","Thoracic","escaping immune response to cancer"
"5030","SETD2","LUAD","Thoracic","suppression of growth"
"5031","SETD2","LUAD","Thoracic","invasion and metastasis"
"5032","SETD2","LUAD","Thoracic","change of cellular energetics"
"5033","SETD2","LUAD","Thoracic","tumour promoting inflammation"
"5034","SETD2","HCC","Digestive system","proliferative signalling"
"5035","SETD2","HCC","Digestive system","genome instability and mutations"
"5036","SETD2","HCC","Digestive system","escaping programmed cell death"
"5037","SETD2","HCC","Digestive system","escaping immune response to cancer"
"5038","SETD2","HCC","Digestive system","suppression of growth"
"5039","SETD2","HCC","Digestive system","invasion and metastasis"
"5040","SETD2","HCC","Digestive system","change of cellular energetics"
"5041","SETD2","HCC","Digestive system","tumour promoting inflammation"
"5042","SETD2","ES","Soft tissue and bone","proliferative signalling"
"5043","SETD2","ES","Soft tissue and bone","genome instability and mutations"
"5044","SETD2","ES","Soft tissue and bone","escaping programmed cell death"
"5045","SETD2","ES","Soft tissue and bone","escaping immune response to cancer"
"5046","SETD2","ES","Soft tissue and bone","suppression of growth"
"5047","SETD2","ES","Soft tissue and bone","invasion and metastasis"
"5048","SETD2","ES","Soft tissue and bone","change of cellular energetics"
"5049","SETD2","ES","Soft tissue and bone","tumour promoting inflammation"
"5050","SETD2","MEL","Skin","proliferative signalling"
"5051","SETD2","MEL","Skin","genome instability and mutations"
"5052","SETD2","MEL","Skin","escaping programmed cell death"
"5053","SETD2","MEL","Skin","escaping immune response to cancer"
"5054","SETD2","MEL","Skin","suppression of growth"
"5055","SETD2","MEL","Skin","invasion and metastasis"
"5056","SETD2","MEL","Skin","change of cellular energetics"
"5057","SETD2","MEL","Skin","tumour promoting inflammation"
"5058","SETD2","NSCLC","Thoracic","proliferative signalling"
"5059","SETD2","NSCLC","Thoracic","genome instability and mutations"
"5060","SETD2","NSCLC","Thoracic","escaping programmed cell death"
"5061","SETD2","NSCLC","Thoracic","escaping immune response to cancer"
"5062","SETD2","NSCLC","Thoracic","suppression of growth"
"5063","SETD2","NSCLC","Thoracic","invasion and metastasis"
"5064","SETD2","NSCLC","Thoracic","change of cellular energetics"
"5065","SETD2","NSCLC","Thoracic","tumour promoting inflammation"
"5066","SETD2","CLLSLL","Haematolymphoid","proliferative signalling"
"5067","SETD2","CLLSLL","Haematolymphoid","genome instability and mutations"
"5068","SETD2","CLLSLL","Haematolymphoid","escaping programmed cell death"
"5069","SETD2","CLLSLL","Haematolymphoid","escaping immune response to cancer"
"5070","SETD2","CLLSLL","Haematolymphoid","suppression of growth"
"5071","SETD2","CLLSLL","Haematolymphoid","invasion and metastasis"
"5072","SETD2","CLLSLL","Haematolymphoid","change of cellular energetics"
"5073","SETD2","CLLSLL","Haematolymphoid","tumour promoting inflammation"
"5074","SETD2","OS","Soft tissue and bone","proliferative signalling"
"5075","SETD2","OS","Soft tissue and bone","genome instability and mutations"
"5076","SETD2","OS","Soft tissue and bone","escaping programmed cell death"
"5077","SETD2","OS","Soft tissue and bone","escaping immune response to cancer"
"5078","SETD2","OS","Soft tissue and bone","suppression of growth"
"5079","SETD2","OS","Soft tissue and bone","invasion and metastasis"
"5080","SETD2","OS","Soft tissue and bone","change of cellular energetics"
"5081","SETD2","OS","Soft tissue and bone","tumour promoting inflammation"
"5082","SETD2","PANET","Digestive system","proliferative signalling"
"5083","SETD2","PANET","Digestive system","genome instability and mutations"
"5084","SETD2","PANET","Digestive system","escaping programmed cell death"
"5085","SETD2","PANET","Digestive system","escaping immune response to cancer"
"5086","SETD2","PANET","Digestive system","suppression of growth"
"5087","SETD2","PANET","Digestive system","invasion and metastasis"
"5088","SETD2","PANET","Digestive system","change of cellular energetics"
"5089","SETD2","PANET","Digestive system","tumour promoting inflammation"
"5090","SETD2","CCRCC","Urinary and male genital","proliferative signalling"
"5091","SETD2","CCRCC","Urinary and male genital","genome instability and mutations"
"5092","SETD2","CCRCC","Urinary and male genital","escaping programmed cell death"
"5093","SETD2","CCRCC","Urinary and male genital","escaping immune response to cancer"
"5094","SETD2","CCRCC","Urinary and male genital","suppression of growth"
"5095","SETD2","CCRCC","Urinary and male genital","invasion and metastasis"
"5096","SETD2","CCRCC","Urinary and male genital","change of cellular energetics"
"5097","SETD2","CCRCC","Urinary and male genital","tumour promoting inflammation"
"5098","SETD2","PCM","Haematolymphoid","proliferative signalling"
"5099","SETD2","PCM","Haematolymphoid","genome instability and mutations"
"5100","SETD2","PCM","Haematolymphoid","escaping programmed cell death"
"5101","SETD2","PCM","Haematolymphoid","escaping immune response to cancer"
"5102","SETD2","PCM","Haematolymphoid","suppression of growth"
"5103","SETD2","PCM","Haematolymphoid","invasion and metastasis"
"5104","SETD2","PCM","Haematolymphoid","change of cellular energetics"
"5105","SETD2","PCM","Haematolymphoid","tumour promoting inflammation"
"5106","SETD2","PAAD","Digestive system","proliferative signalling"
"5107","SETD2","PAAD","Digestive system","genome instability and mutations"
"5108","SETD2","PAAD","Digestive system","escaping programmed cell death"
"5109","SETD2","PAAD","Digestive system","escaping immune response to cancer"
"5110","SETD2","PAAD","Digestive system","suppression of growth"
"5111","SETD2","PAAD","Digestive system","invasion and metastasis"
"5112","SETD2","PAAD","Digestive system","change of cellular energetics"
"5113","SETD2","PAAD","Digestive system","tumour promoting inflammation"
"5114","SETD2","PLMESO","Soft tissue and bone","proliferative signalling"
"5115","SETD2","PLMESO","Soft tissue and bone","genome instability and mutations"
"5116","SETD2","PLMESO","Soft tissue and bone","escaping programmed cell death"
"5117","SETD2","PLMESO","Soft tissue and bone","escaping immune response to cancer"
"5118","SETD2","PLMESO","Soft tissue and bone","suppression of growth"
"5119","SETD2","PLMESO","Soft tissue and bone","invasion and metastasis"
"5120","SETD2","PLMESO","Soft tissue and bone","change of cellular energetics"
"5121","SETD2","PLMESO","Soft tissue and bone","tumour promoting inflammation"
"5122","SETD2","PRCC","Urinary and male genital","proliferative signalling"
"5123","SETD2","PRCC","Urinary and male genital","genome instability and mutations"
"5124","SETD2","PRCC","Urinary and male genital","escaping programmed cell death"
"5125","SETD2","PRCC","Urinary and male genital","escaping immune response to cancer"
"5126","SETD2","PRCC","Urinary and male genital","suppression of growth"
"5127","SETD2","PRCC","Urinary and male genital","invasion and metastasis"
"5128","SETD2","PRCC","Urinary and male genital","change of cellular energetics"
"5129","SETD2","PRCC","Urinary and male genital","tumour promoting inflammation"
"5130","SETD2","ALL","Haematolymphoid","proliferative signalling"
"5131","SETD2","ALL","Haematolymphoid","genome instability and mutations"
"5132","SETD2","ALL","Haematolymphoid","escaping programmed cell death"
